Дата платежа;Сумма платежа;Дата покупки долга;Портфель;ClientID;Дата создания ClientID;UserID;Внутренняя служба;Дата закрепления;Дата открепления;Код получателя платежа
20.12.2022;2698,34;08.11.2017;Портфель1;2149497;21.12.2017;14499;Отдел Сопровождения Исполнительных Производств;09.09.2022;NULL;20
28.04.2023;2217,04;08.11.2017;Портфель2;2149497;21.12.2017;14499;Отдел Сопровождения Исполнительных Производств;09.09.2022;NULL;20
20.12.2022;28,63;08.11.2017;Портфель3;2149497;21.12.2017;14499;Отдел Сопровождения Исполнительных Производств;09.09.2022;NULL;20
05.05.2021;0,52;08.11.2017;Портфель4;2149657;21.12.2017;8066;Отдел взаимодействия;05.05.2021;15.09.2021;20
01.07.2024;425;08.11.2017;Портфель5;2149657;21.12.2017;14501;Отдел Сопровождения Исполнительных Производств;01.03.2024;NULL;20
01.07.2024;275;08.11.2017;Портфель1;2149657;21.12.2017;14501;Отдел Сопровождения Исполнительных Производств;01.03.2024;NULL;20
02.08.2021;0,36;08.11.2017;Портфель2;2149693;21.12.2017;8068;Отдел взаимодействия;02.07.2021;22.09.2021;20
13.04.2022;190,08;08.11.2017;Портфель3;2149693;21.12.2017;8737;Отдел Сопровождения Исполнительных Производств;02.11.2021;09.09.2022;20
06.09.2023;996,76;08.11.2017;Портфель4;2149693;21.12.2017;NULL;Отдел Сопровождения Исполнительных Производств;NULL;NULL;20
06.09.2023;12000;08.11.2017;Портфель5;2149693;21.12.2017;14499;Отдел Сопровождения Исполнительных Производств;05.09.2023;13.09.2023;20
06.09.2023;39928,11;08.11.2017;Портфель1;2149693;21.12.2017;14499;Отдел Сопровождения Исполнительных Производств;05.09.2023;13.09.2023;20
10.02.2023;4850;08.11.2017;Портфель2;2149509;21.12.2017;14499;Отдел Сопровождения Исполнительных Производств;09.09.2022;NULL;20
08.05.2024;9,31;08.11.2017;Портфель3;2149477;21.12.2017;14499;Отдел Сопровождения Исполнительных Производств;02.08.2023;NULL;20
13.08.2019;14;08.11.2017;Портфель4;2149515;21.12.2017;8058;Отдел взаимодействия;29.04.2019;04.09.2019;NULL
22.09.2020;130,54;13.09.2018;Портфель5;2948197;20.09.2018;8066;Отдел взаимодействия;29.05.2020;13.11.2020;7
11.03.2020;546,92;24.09.2018;Портфель1;2934207;14.11.2018;9698;Отдел Сопровождения Исполнительных Производств;11.03.2020;06.04.2021;1
09.12.2021;10,22;07.03.2018;Портфель2;2926307;13.11.2018;NULL;Отдел юридического сопровождения;NULL;NULL;36
28.05.2024;2000;28.08.2018;Портфель3;2928805;14.11.2018;12059;Отдел Сопровождения Исполнительных Производств;10.04.2024;NULL;7
28.05.2024;3984;28.08.2018;Портфель4;2928805;14.11.2018;12059;Отдел Сопровождения Исполнительных Производств;10.04.2024;NULL;7
26.09.2022;3,95;22.05.2018;Портфель5;2847313;18.10.2018;14499;Отдел Сопровождения Исполнительных Производств;09.09.2022;NULL;7
24.05.2023;5,09;22.05.2018;Портфель1;2847313;18.10.2018;14499;Отдел Сопровождения Исполнительных Производств;09.09.2022;NULL;7
26.09.2022;5,16;22.05.2018;Портфель2;2847313;18.10.2018;14499;Отдел Сопровождения Исполнительных Производств;09.09.2022;NULL;7
23.06.2023;246,81;22.05.2018;Портфель3;2847313;18.10.2018;14499;Отдел Сопровождения Исполнительных Производств;09.09.2022;NULL;7
26.09.2022;3,46;22.05.2018;Портфель4;2847313;18.10.2018;14499;Отдел Сопровождения Исполнительных Производств;09.09.2022;NULL;7
24.05.2023;4,53;22.05.2018;Портфель5;2847313;18.10.2018;14499;Отдел Сопровождения Исполнительных Производств;09.09.2022;NULL;7
14.08.2024;474,07;13.07.2018;Портфель1;2850113;18.10.2018;9665;Отдел юридического сопровождения;17.11.2023;NULL;7
14.08.2024;142;13.07.2018;Портфель2;2850113;18.10.2018;9665;Отдел юридического сопровождения;17.11.2023;NULL;7
14.08.2024;125,21;13.07.2018;Портфель3;2850113;18.10.2018;9665;Отдел юридического сопровождения;17.11.2023;NULL;7
14.08.2024;240,88;13.07.2018;Портфель4;2850113;18.10.2018;9665;Отдел юридического сопровождения;17.11.2023;NULL;7
14.08.2024;66,02;13.07.2018;Портфель5;2850113;18.10.2018;9665;Отдел юридического сопровождения;17.11.2023;NULL;7
12.09.2019;1364,76;16.05.2018;Портфель1;2850107;18.10.2018;1981;Коллекторские агентства;09.09.2019;02.10.2019;NULL
06.11.2019;166,32;05.07.2018;Портфель2;2850385;18.10.2018;8281;Отдел Сопровождения Исполнительных Производств;04.10.2019;24.01.2020;NULL
12.07.2021;523,48;05.07.2018;Портфель3;2850385;18.10.2018;9698;Отдел Сопровождения Исполнительных Производств;07.05.2021;15.03.2023;7
14.08.2024;260,48;13.07.2018;Портфель4;2850113;18.10.2018;9665;Отдел юридического сопровождения;17.11.2023;NULL;7
14.08.2024;17,88;13.07.2018;Портфель5;2850113;18.10.2018;9665;Отдел юридического сопровождения;17.11.2023;NULL;7
14.08.2024;80,78;13.07.2018;Портфель1;2850113;18.10.2018;9665;Отдел юридического сопровождения;17.11.2023;NULL;7
14.08.2024;250,52;13.07.2018;Портфель2;2850113;18.10.2018;9665;Отдел юридического сопровождения;17.11.2023;NULL;7
14.08.2024;248,5;13.07.2018;Портфель3;2850113;18.10.2018;9665;Отдел юридического сопровождения;17.11.2023;NULL;7
27.05.2020;10;15.05.2018;Портфель4;2850133;18.10.2018;8066;Отдел взаимодействия;13.11.2019;03.07.2020;1
29.04.2020;55,8;15.05.2018;Портфель5;2850133;18.10.2018;8066;Отдел взаимодействия;13.11.2019;03.07.2020;1
16.02.2019;619,6;22.04.2018;Портфель1;2850191;18.10.2018;1491;Коллекторские агентства;27.12.2018;17.02.2019;NULL
16.02.2019;2000;22.04.2018;Портфель2;2850191;18.10.2018;1491;Коллекторские агентства;27.12.2018;17.02.2019;NULL
18.05.2022;602,35;30.05.2018;Портфель3;2850215;18.10.2018;8737;Отдел Сопровождения Исполнительных Производств;12.01.2022;03.06.2022;34
18.05.2022;2988,63;30.05.2018;Портфель4;2850215;18.10.2018;8737;Отдел Сопровождения Исполнительных Производств;12.01.2022;03.06.2022;34
23.03.2022;6617,16;30.05.2018;Портфель5;2850215;18.10.2018;8737;Отдел Сопровождения Исполнительных Производств;12.01.2022;03.06.2022;34
23.03.2022;3692,35;30.05.2018;Портфель1;2850215;18.10.2018;8737;Отдел Сопровождения Исполнительных Производств;12.01.2022;03.06.2022;34
20.08.2019;44,84;23.03.2018;Портфель2;2850217;18.10.2018;8442;ОПЗХ;18.07.2019;04.09.2019;NULL
22.08.2019;9;20.05.2018;Портфель3;2850243;18.10.2018;8068;Отдел взаимодействия;17.04.2019;31.08.2019;NULL
22.08.2019;103,57;20.05.2018;Портфель4;2850243;18.10.2018;8068;Отдел взаимодействия;17.04.2019;31.08.2019;NULL
25.06.2020;167,86;19.06.2018;Портфель5;2850255;18.10.2018;8066;Отдел взаимодействия;08.06.2020;14.09.2020;1
16.02.2019;3980;22.04.2018;Портфель1;2850191;18.10.2018;1491;Коллекторские агентства;27.12.2018;17.02.2019;NULL
06.08.2019;7400;05.07.2018;Портфель2;2850279;18.10.2018;7517;ОДВ-ДЗП;16.07.2019;04.09.2019;NULL
29.03.2019;20;18.05.2018;Портфель3;2850347;18.10.2018;3614;ОПЗХ;28.02.2019;16.04.2019;1
13.05.2020;271,04;21.05.2018;Портфель4;2850353;18.10.2018;8066;Отдел взаимодействия;03.10.2019;10.06.2020;1
13.05.2020;4000;21.05.2018;Портфель5;2850353;18.10.2018;8066;Отдел взаимодействия;03.10.2019;10.06.2020;1
13.05.2020;2616,68;21.05.2018;Портфель1;2850353;18.10.2018;8066;Отдел взаимодействия;03.10.2019;10.06.2020;1
18.03.2020;79,6;21.05.2018;Портфель2;2850353;18.10.2018;8066;Отдел взаимодействия;03.10.2019;10.06.2020;1
11.12.2019;4378,52;05.07.2018;Портфель3;2850307;18.10.2018;8552;Отдел Сопровождения Исполнительных Производств;04.10.2019;02.03.2020;NULL
27.01.2022;222,37;16.05.2018;Портфель4;2850369;18.10.2018;8711;Отдел Сопровождения Исполнительных Производств;13.09.2021;27.09.2022;7
28.04.2020;441,66;22.01.2018;Портфель5;2831969;27.07.2018;8737;Отдел Сопровождения Исполнительных Производств;01.04.2020;09.05.2020;36
28.04.2020;1757,25;22.01.2018;Портфель1;2831969;27.07.2018;8737;Отдел Сопровождения Исполнительных Производств;01.04.2020;09.05.2020;36
02.06.2022;1287,04;16.05.2018;Портфель2;2838979;15.08.2018;8703;Отдел Сопровождения Исполнительных Производств;13.12.2021;16.05.2023;36
17.10.2022;643,52;16.05.2018;Портфель3;2838979;15.08.2018;8703;Отдел Сопровождения Исполнительных Производств;13.12.2021;16.05.2023;36
